Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Craig Hodges,MIL,12,226.0,95,40,77,.519,5,17,.294,10,11,.909,11,11,22,20,9,2,3,16,NBA 1986-1987 Playoffs Players Statistic
Roy Hinson,PHI,5,159.0,86,31,52,.596,0,0,.000,24,38,.632,6,17,23,3,4,10,2,18,NBA 1986-1987 Playoffs Players Statistic
Rod Higgins,GSW,10,177.0,43,18,46,.391,1,1,1.000,6,9,.667,5,16,21,12,11,6,2,20,NBA 1986-1987 Playoffs Players Statistic
Conner Henry,BOS,11,35.0,22,8,16,.500,1,5,.200,5,10,.500,3,3,6,0,0,0,4,3,NBA 1986-1987 Playoffs Players Statistic
Jerome Henderson,MIL,1,1.0,0,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
Scott Hastings,ATL,4,21.0,6,2,3,.667,0,0,.000,2,2,1.000,1,5,6,0,2,1,0,5,NBA 1986-1987 Playoffs Players Statistic
Steve Harris,HOU,9,91.0,37,16,43,.372,0,1,.000,5,6,.833,3,4,7,5,3,0,3,15,NBA 1986-1987 Playoffs Players Statistic
Derek Harper,DAL,4,123.0,66,20,40,.500,2,9,.222,24,30,.800,2,10,12,27,7,0,5,7,NBA 1986-1987 Playoffs Players Statistic
Bill Hanzlik,DEN,3,76.0,25,8,25,.320,0,2,.000,9,15,.600,0,6,6,7,4,0,3,6,NBA 1986-1987 Playoffs Players Statistic
Bobby Hansen,UTA,5,142.0,61,21,49,.429,2,5,.400,17,20,.850,3,12,15,11,1,1,7,14,NBA 1986-1987 Playoffs Players Statistic
Darrell Griffith,UTA,5,104.0,68,24,65,.369,6,15,.400,14,19,.737,5,7,12,8,6,2,12,5,NBA 1986-1987 Playoffs Players Statistic
Sidney Green,DET,9,42.0,17,6,10,.600,0,0,.000,5,6,.833,3,6,9,1,1,2,3,2,NBA 1986-1987 Playoffs Players Statistic
Rickey Green,UTA,4,72.0,27,11,23,.478,0,1,.000,5,6,.833,1,7,8,25,2,0,7,5,NBA 1986-1987 Playoffs Players Statistic
A.C. Green,LAL,18,505.0,207,71,130,.546,0,0,.000,65,87,.747,54,88,142,13,9,8,17,47,NBA 1986-1987 Playoffs Players Statistic
Stuart Gray,IND,3,14.0,2,0,1,.000,0,0,.000,2,4,.500,2,5,7,0,0,0,0,3,NBA 1986-1987 Playoffs Players Statistic
Sleepy Floyd,GSW,10,414.0,214,77,152,.507,13,28,.464,47,51,.922,9,21,30,102,18,2,35,24,NBA 1986-1987 Playoffs Players Statistic
Vern Fleming,IND,4,141.0,49,13,36,.361,0,1,.000,23,30,.767,9,17,26,24,4,1,10,15,NBA 1986-1987 Playoffs Players Statistic
Dave Feitl,HOU,6,8.0,2,0,0,.000,0,0,.000,2,2,1.000,0,1,1,0,0,0,0,0,NBA 1986-1987 Playoffs Players Statistic
Mike Evans,DEN,3,57.0,18,7,19,.368,2,7,.286,2,2,1.000,2,5,7,8,3,0,3,6,NBA 1986-1987 Playoffs Players Statistic
