Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Phil Chenier,WAS,78,"2,842.0","1,578",654,"1,472",.444,-,-,-,270,321,.841,56,243,299,294,120,39,-,166,NBA 1976-1977 Regular_Season Players Statistic
Kenny Charles,ATL,82,"2,487.0",913,354,855,.414,-,-,-,205,256,.801,41,127,168,295,141,45,-,240,NBA 1976-1977 Regular_Season Players Statistic
Don Chaney,LAL,81,"2,408.0",496,213,522,.408,-,-,-,70,94,.745,120,210,330,308,140,33,-,224,NBA 1976-1977 Regular_Season Players Statistic
Harvey Catchings,PHI,53,864.0,157,62,123,.504,-,-,-,33,47,.702,64,170,234,30,23,78,-,130,NBA 1976-1977 Regular_Season Players Statistic
Cornelius Cash,DET,6,49.0,21,9,23,.391,-,-,-,3,6,.500,8,8,16,1,2,1,-,8,NBA 1976-1977 Regular_Season Players Statistic
Fred Carter,MIL,61,"1,112.0",486,209,500,.418,-,-,-,68,96,.708,55,62,117,125,39,9,-,125,NBA 1976-1977 Regular_Season Players Statistic
M.L. Carr,DET,82,"2,643.0","1,091",443,931,.476,-,-,-,205,279,.735,211,420,631,181,165,58,-,287,NBA 1976-1977 Regular_Season Players Statistic
Austin Carr,CLE,82,"2,409.0","1,329",558,"1,221",.457,-,-,-,213,268,.795,120,120,240,220,57,10,-,221,NBA 1976-1977 Regular_Season Players Statistic
Mack Calvin,DEN,76,"1,438.0",727,220,544,.404,-,-,-,287,338,.849,36,60,96,240,61,3,-,127,NBA 1976-1977 Regular_Season Players Statistic
Corky Calhoun,POR,70,743.0,236,85,183,.464,-,-,-,66,85,.776,40,104,144,35,24,8,-,123,NBA 1976-1977 Regular_Season Players Statistic
Don Buse,IND,81,"2,947.0",646,266,639,.416,-,-,-,114,145,.786,66,204,270,685,281,16,-,129,NBA 1976-1977 Regular_Season Players Statistic
Tom Burleson,SEA,82,"1,803.0",796,288,652,.442,-,-,-,220,301,.731,184,367,551,93,74,117,-,259,NBA 1976-1977 Regular_Season Players Statistic
Ticky Burden,NYK,61,608.0,347,148,352,.420,-,-,-,51,85,.600,26,40,66,62,47,1,-,88,NBA 1976-1977 Regular_Season Players Statistic
Quinn Buckner,MIL,79,"2,095.0",681,299,689,.434,-,-,-,83,154,.539,91,173,264,372,192,21,-,291,NBA 1976-1977 Regular_Season Players Statistic
Joe Bryant,PHI,61,612.0,267,107,240,.446,-,-,-,53,70,.757,45,72,117,48,36,13,-,84,NBA 1976-1977 Regular_Season Players Statistic
Roger Brown,DET,43,322.0,60,21,56,.375,-,-,-,18,26,.692,31,59,90,12,15,18,-,68,NBA 1976-1977 Regular_Season Players Statistic
John Brown,ATL,77,"1,405.0",441,160,350,.457,-,-,-,121,150,.807,75,161,236,103,46,7,-,217,NBA 1976-1977 Regular_Season Players Statistic
Fred Brown,SEA,72,"2,098.0","1,236",534,"1,114",.479,-,-,-,168,190,.884,68,164,232,176,124,19,-,140,NBA 1976-1977 Regular_Season Players Statistic
Gary Brokaw,CLE,80,"1,487.0",647,242,564,.429,-,-,-,163,219,.744,22,101,123,228,36,36,-,164,NBA 1976-1977 Regular_Season Players Statistic
