Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Scott Wedman,GF,2.0065999999999997,97.52235955,28,KCK,81,6,United States,NBA 1980-1981 Players Information
Paul Westphal,G,1.9304,88.45051215000001,30,SEA,36,8,United States,NBA 1980-1981 Players Information
Jo Jo White,G,1.905,86.1825503,34,KCK,13,11,United States,NBA 1980-1981 Players Information
Rudy White,SG,1.8796,88.45051215000001,27,"GOS, SEA",16,5,United States,NBA 1980-1981 Players Information
Jerome Whitehead,C,2.0827999999999998,99.79032140000001,24,"CLE, DAL, SDC",48,2,United States,NBA 1980-1981 Players Information
Hawkeye Whitney,F,1.9558,106.59420695,23,KCK,47,0,United States,NBA 1980-1981 Players Information
Sidney Wicks,FC,2.032,102.05828325,31,SDC,49,9,United States,NBA 1980-1981 Players Information
Michael Wiley,PF,2.0574,90.718474,23,SAS,32,0,United States,NBA 1980-1981 Players Information
Bob Wilkerson,GF,1.9811999999999999,88.45051215000001,26,CHI,80,4,United States,NBA 1980-1981 Players Information
Jamaal Wilkes,GF,1.9811999999999999,86.1825503,27,LAL,81,6,United States,NBA 1980-1981 Players Information
James Wilkes,F,2.0065999999999997,88.45051215000001,22,CHI,47,0,United States,NBA 1980-1981 Players Information
Jeff Wilkins,FC,2.1082,104.32624510000001,25,UTA,55,1,United States,NBA 1980-1981 Players Information
Freeman Williams,GF,1.9304,86.1825503,24,SDC,82,2,United States,NBA 1980-1981 Players Information
Ray Williams,G,1.905,85.27536556,26,NYK,79,3,United States,NBA 1980-1981 Players Information
Sly Williams,F,2.0065999999999997,95.2543977,23,NYK,67,1,United States,NBA 1980-1981 Players Information
John Williamson,G,1.8796,83.91458845000001,29,WAS,9,4,United States,NBA 1980-1981 Players Information
Bill Willoughby,FC,2.032,92.98643585,23,HOU,55,4,United States,NBA 1980-1981 Players Information
Brian Winters,GF,1.9304,83.91458845000001,28,MIL,69,6,United States,NBA 1980-1981 Players Information
Mike Woodson,GF,1.9558,88.45051215000001,22,NYK,81,0,United States,NBA 1980-1981 Players Information
Sam Worthen,PG,1.9558,88.45051215000001,23,CHI,64,0,United States,NBA 1980-1981 Players Information
Larry Wright,PG,1.8541999999999998,72.57477920000001,26,DET,45,4,United States,NBA 1980-1981 Players Information
