#,Player,Pos,HT,WT,Age,Teams,YOS,Nationality,Title
25,Nassir Little,SF,1.9811999999999999,99.79032140000001,24,Phoenix Suns,4,United States,NBA 2023-2024 Players Information
2,Dereck Lively II,C,2.159,104.32624510000001,20,Dallas Mavericks,0,United States,NBA 2023-2024 Players Information
12,Isaiah Livers,PF,1.9811999999999999,105.23342984,25,Washington Wizards,2,United States,NBA 2023-2024 Players Information
7,Chris Livingston,F,1.9811999999999999,99.79032140000001,20,Milwaukee Bucks,0,United States,NBA 2023-2024 Players Information
34,"Kenny Lofton, Jr.",F,1.9811999999999999,124.73790175,21,Utah Jazz,1,United States,NBA 2023-2024 Players Information
5,Kevon Looney,PF,2.0574,100.69750614,28,Golden State Warriors,8,United States,NBA 2023-2024 Players Information
11,Brook Lopez,C,2.159,127.91304834,35,Milwaukee Bucks,15,United States,NBA 2023-2024 Players Information
42,Kevin Love,FC,2.032,113.85168487,35,Miami Heat,15,United States,NBA 2023-2024 Players Information
7,Kyle Lowry,PG,1.8288,88.90410452,38,Philadelphia Sixers,17,United States,NBA 2023-2024 Players Information
3,Seth Lundy,GF,1.9304,99.79032140000001,24,Atlanta Hawks,0,United States,NBA 2023-2024 Players Information
41,Trey Lyles,SF,2.0574,106.14061458,28,Sacramento Kings,8,CanadaUnited States,NBA 2023-2024 Players Information
54,Sandro Mamukelashvili,F,2.0574,108.8621688,24,San Antonio Spurs,2,Georgia,NBA 2023-2024 Players Information
14,Terance Mann,SG,1.9558,97.52235955,27,Los Angeles Clippers,4,United States,NBA 2023-2024 Players Information
23,Tre Mann,PG,1.905,80.73944186,23,Charlotte Hornets,2,United States,NBA 2023-2024 Players Information
51,Boban Marjanovic,C,2.2352,131.5417873,35,Houston Rockets,8,Serbia,NBA 2023-2024 Players Information
23,Lauri Markkanen,SF,2.1336,108.8621688,26,Utah Jazz,6,Finland,NBA 2023-2024 Players Information
8,Naji Marshall,SF,1.9811999999999999,99.79032140000001,26,New Orleans Pelicans,3,United States,NBA 2023-2024 Players Information
16,Caleb Martin,F,1.9558,92.98643585,28,Miami Heat,4,United States,NBA 2023-2024 Players Information
11,Cody Martin,F,1.9811999999999999,92.98643585,28,Charlotte Hornets,4,United States,NBA 2023-2024 Players Information
16,Jaylen Martin,F,1.9811999999999999,97.97595192,21,Brooklyn Nets,0,United States,NBA 2023-2024 Players Information
1,K.J. Martin,F,1.9811999999999999,97.52235955,23,Philadelphia Sixers,3,United States,NBA 2023-2024 Players Information
25,Garrison Mathews,SG,1.9811999999999999,97.52235955,27,Atlanta Hawks,4,United States,NBA 2023-2024 Players Information
0,Bennedict Mathurin,GF,1.9558,95.2543977,21,Indiana Pacers,1,CanadaHaiti,NBA 2023-2024 Players Information
32,Wesley Matthews,G,1.9558,99.79032140000001,37,Atlanta Hawks,14,United States,NBA 2023-2024 Players Information
0,Tyrese Maxey,PG,1.8796,90.718474,23,Philadelphia Sixers,3,United States,NBA 2023-2024 Players Information
4,Skylar Mays,PG,1.905,92.98643585,26,Los Angeles Lakers,3,United States,NBA 2023-2024 Players Information
2,Miles McBride,G,1.8541999999999998,88.45051215000001,23,New York Knicks,2,United States,NBA 2023-2024 Players Information
3,C.J. McCollum,G,1.905,86.1825503,32,New Orleans Pelicans,10,United States,NBA 2023-2024 Players Information
9,T.J. McConnell,G,1.8541999999999998,86.1825503,32,Indiana Pacers,8,United States,NBA 2023-2024 Players Information
3,Jaden McDaniels,F,2.0574,83.91458845000001,23,Minnesota Timberwolves,3,United States,NBA 2023-2024 Players Information
2,Jalen McDaniels,PF,2.0574,86.1825503,26,Toronto Raptors,4,United States,NBA 2023-2024 Players Information
20,Doug McDermott,F,1.9811999999999999,102.05828325,32,Indiana Pacers,9,United States,NBA 2023-2024 Players Information
0,JaVale McGee,C,2.1336,122.4699399,36,Sacramento Kings,15,United States,NBA 2023-2024 Players Information
7,Bryce McGowens,GF,1.9811999999999999,79.37866475,21,Charlotte Hornets,1,United States,NBA 2023-2024 Players Information
6,Jordan McLaughlin,G,1.8288,83.91458845000001,27,Minnesota Timberwolves,4,United States,NBA 2023-2024 Players Information
8,De'Anthony Melton,SG,1.905,90.718474,25,Philadelphia Sixers,5,United States,NBA 2023-2024 Players Information
5,Sam Merrill,G,1.9304,92.98643585,27,Cleveland Cavaliers,3,United States,NBA 2023-2024 Players Information
5,Chimezie Metu,PF,2.0827999999999998,102.05828325,27,Detroit Pistons,5,United StatesNigeria,NBA 2023-2024 Players Information
22,Vasilije Micic,PG,1.905,85.27536556,30,Charlotte Hornets,0,Serbia,NBA 2023-2024 Players Information
22,Khris Middleton,SF,2.0065999999999997,100.69750614,32,Milwaukee Bucks,11,United States,NBA 2023-2024 Players Information
24,Brandon Miller,F,2.0065999999999997,90.718474,21,Charlotte Hornets,0,United States,NBA 2023-2024 Players Information
11,Jordan Miller,G,1.9558,87.99691978,25,Los Angeles Clippers,0,United States,NBA 2023-2024 Players Information
33,Leonard Miller,F,2.0827999999999998,95.2543977,20,Minnesota Timberwolves,0,Canada,NBA 2023-2024 Players Information
88,Patty Mills,G,1.8796,81.6466266,35,Miami Heat,14,Australia,NBA 2023-2024 Players Information
13,Shake Milton,SG,1.9558,92.98643585,27,New York Knicks,5,United States,NBA 2023-2024 Players Information
24,Justin Minaya,F,1.9558,92.98643585,25,Portland Trail Blazers,1,United StatesDominican Republic,NBA 2023-2024 Players Information
8,Josh Minott,F,2.032,92.98643585,21,Minnesota Timberwolves,1,United States,NBA 2023-2024 Players Information
15,Davion Mitchell,PG,1.8288,91.62565874,25,Sacramento Kings,2,United States,NBA 2023-2024 Players Information
45,Donovan Mitchell,SG,1.905,97.52235955,27,Cleveland Cavaliers,6,United States,NBA 2023-2024 Players Information
4,Evan Mobley,PF,2.1082,97.52235955,22,Cleveland Cavaliers,2,United States,NBA 2023-2024 Players Information
15,Isaiah Mobley,SF,2.032,107.95498406,24,Cleveland Cavaliers,1,United States,NBA 2023-2024 Players Information
0,Malik Monk,SG,1.905,90.718474,26,Sacramento Kings,6,United States,NBA 2023-2024 Players Information
4,Moses Moody,SG,1.9558,95.70799007000001,21,Golden State Warriors,2,United States,NBA 2023-2024 Players Information
15,Xavier Moon,SG,1.8288,74.84274105,29,Los Angeles Clippers,2,United States,NBA 2023-2024 Players Information
7,"Wendell Moore, Jr.",SF,1.9558,97.52235955,22,Minnesota Timberwolves,1,United States,NBA 2023-2024 Players Information
12,Ja Morant,G,1.8796,78.92507238,24,Memphis Grizzlies,4,United States,NBA 2023-2024 Players Information
24,Marcus Morris,F,2.032,98.88313666,34,Cleveland Cavaliers,12,United States,NBA 2023-2024 Players Information
88,Markieff Morris,PF,2.0574,111.13013065000001,34,Dallas Mavericks,12,United States,NBA 2023-2024 Players Information
23,Monte Morris,G,1.8796,83.00740371,28,Minnesota Timberwolves,6,United StatesNigeria,NBA 2023-2024 Players Information
25,Trey Murphy III,G,2.032,93.44002822,23,New Orleans Pelicans,2,United States,NBA 2023-2024 Players Information
5,Dejounte Murray,SG,1.9558,81.6466266,27,Atlanta Hawks,7,United States,NBA 2023-2024 Players Information
27,Jamal Murray,SG,1.9304,97.52235955,27,Denver Nuggets,7,Canada,NBA 2023-2024 Players Information
13,Keegan Murray,F,2.032,102.05828325,23,Sacramento Kings,1,United States,NBA 2023-2024 Players Information
8,Kris Murray,F,2.032,95.2543977,23,Portland Trail Blazers,0,United States,NBA 2023-2024 Players Information
50,Mike Muscala,FC,2.0827999999999998,108.8621688,32,Oklahoma City Thunder,10,United States,NBA 2023-2024 Players Information
50,Svi Mykhailiuk,SF,2.0065999999999997,92.98643585,26,Boston Celtics,5,Ukraine,NBA 2023-2024 Players Information
22,"Larry Nance, Jr.",SF,2.032,111.13013065000001,31,New Orleans Pelicans,8,United States,NBA 2023-2024 Players Information
8,Pete Nance,PF,2.0827999999999998,102.05828325,24,Cleveland Cavaliers,0,United States,NBA 2023-2024 Players Information
2,Andrew Nembhard,PG,1.9304,86.63614267,24,Indiana Pacers,1,Canada,NBA 2023-2024 Players Information
23,Aaron Nesmith,F,1.9811999999999999,97.52235955,24,Indiana Pacers,3,United States,NBA 2023-2024 Players Information
20,Georges Niang,F,2.0065999999999997,104.32624510000001,30,Cleveland Cavaliers,7,United States,NBA 2023-2024 Players Information
12,Daishen Nix,GF,1.905,102.51187562000001,22,Minnesota Timberwolves,2,United States,NBA 2023-2024 Players Information
22,Zeke Nnaji,PF,2.0574,108.8621688,23,Denver Nuggets,3,United States,NBA 2023-2024 Players Information
20,Jusuf Nurkic,FC,2.1336,131.5417873,29,Phoenix Suns,9,Bosnia and Herzegovina,NBA 2023-2024 Players Information
13,Jordan Nwora,F,2.032,102.05828325,25,Toronto Raptors,3,United StatesNigeria,NBA 2023-2024 Players Information
0,Royce O'Neale,SF,1.9811999999999999,102.51187562000001,30,Phoenix Suns,6,United States,NBA 2023-2024 Players Information
