DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Fri, Mar 28",Sacramento ,W114-108  ,38-34,Jamison  25,Jamison  12,Butler  7,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sun, Mar 30",Los Angeles ,L126-120 OT ,38-35,Stevenson  27,Butler  12,Butler  12,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Mar 31",Utah ,L129-87  ,38-36,Jamison  22,Blatche  8,Mason Jr.  6,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Apr 2", Milwaukee ,L110-109  ,38-37,Jamison  18,Jamison  8,Butler  4,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Apr 4", Miami ,W109-95  ,39-37,Butler  29,Haywood  8,Arenas  8,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Apr 5",Chicago ,W99-87  ,40-37,Haywood  25,Haywood  10,Daniels  5,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Apr 9", Boston ,W109-95  ,41-37,Jamison  27,Jamison  11,Butler  10,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Fri, Apr 11",Detroit ,L102-74  ,41-38,Jamison  15,Haywood  9,Butler  5,H,Washington Wizards 2007-08 Regular Season NBA Schedule
"Sat, Apr 12", Philadelphia ,W109-93  ,42-38,Jamison  25,Jamison  13,Stevenson  7,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Mon, Apr 14", Indiana ,W117-110  ,43-38,Mason Jr.  31,Blatche  11,Songaila  6,A,Washington Wizards 2007-08 Regular Season NBA Schedule
"Wed, Apr 16",Orlando ,L103-83  ,43-39,Blatche  20,Blatche  11,Blatche  4,H,Washington Wizards 2007-08 Regular Season NBA Schedule
