DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Tue, Dec 30",Dallas ,L101-92  ,15-16,Redd  25,Smith  10,Ford  11,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Jan 2", Dallas ,W109-101  ,16-16,Redd  21,Gadzuric  12,Kukoc  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sun, Jan 4",Washington ,W100-94  ,17-16,Redd  27,Redd  7,Ford  8,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Mon, Jan 5",Philadelphia ,W88-76  ,18-16,Mason  24,Smith  9,Jones  7,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Wed, Jan 7", Phoenix ,W95-87  ,19-16,Redd  23,Gadzuric  10,Jones  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Fri, Jan 9", Miami ,W103-94  ,20-16,Kukoc  24,Kukoc  14,Kukoc  5,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Jan 10",New York ,L94-88  ,20-17,Redd  19,Smith  9,Ford  5,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Tue, Jan 13", Boston ,W111-103  ,21-17,Redd  20,Smith  7,Jones  6,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Thu, Jan 15", New Jersey ,W86-83  ,22-17,Kukoc  17,Smith  8,Ford  9,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Sat, Jan 17", Detroit ,L99-94  ,22-18,Redd  30,Skinner  8,Ford  5,A,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
"Mon, Jan 19",Orlando ,L106-99  ,22-19,Smith  19,Skinner  11,Ford  10,H,Milwaukee Bucks 2003-04 Regular Season NBA Schedule
