DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Dec 1",Philadelphia ,W109-103  ,13-4,Leonard  26,Leonard  10,Joseph  6,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Dec 3",Brooklyn ,L95-93 OT ,13-5,Green  20,Duncan  17,Parker  6,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Dec 5",Memphis ,W107-101  ,14-5,Ginobili  17,Duncan  10,Duncan  10,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Dec 6", Minnesota ,W123-101  ,15-5,Belinelli  20,Duncan  10,Belinelli  6,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Dec 9",Utah ,L100-96  ,15-6,Duncan  23,Duncan  14,Ginobili  8,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Dec 10", New York ,W109-95  ,16-6,Belinelli  22,Ayres  6,Joseph  6,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Dec 12", Los Angeles ,L112-110 OT ,16-7,Duncan  19,Duncan  18,Joseph  5,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sun, Dec 14",Denver ,W99-91  ,17-7,Leonard  18,Duncan  9,Ginobili  6,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Mon, Dec 15",Portland ,L108-95  ,17-8,Leonard  21,Leonard  9,Diaw  9,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Dec 17", Memphis ,L117-116 3OT ,17-9,Green  25,Duncan  16,Ginobili  8,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Dec 19", Portland ,L129-119 3OT ,17-10,Duncan  32,Duncan  10,Joseph  7,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Dec 20",Dallas ,L99-93  ,17-11,Belinelli  21,Baynes  10,Diaw  4,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Mon, Dec 22", LA ,W125-118  ,18-11,Parker  26,Duncan  12,Ginobili  10,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Thu, Dec 25", Oklahoma City ,L114-106  ,18-12,Bonner  17,Splitter  7,Ginobili  13,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Dec 26",New Orleans ,L97-90  ,18-13,Duncan  20,Duncan  11,Joseph  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sun, Dec 28", Houston ,W110-106  ,19-13,Green  24,Duncan  8,Ginobili  4,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Dec 30",Memphis ,L95-87  ,19-14,Belinelli  18,Duncan  10,Joseph  3,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Dec 31", New Orleans ,W95-93 OT ,20-14,Ginobili  26,Duncan  10,Duncan  5,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Jan 3", Washington ,W101-92  ,21-14,Joseph  19,Duncan  9,Ginobili  5,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Jan 6", Detroit ,L105-104  ,21-15,Ayres  16,Duncan  7,Ginobili  8,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Jan 9", Phoenix ,W100-95  ,22-15,Green  20,Splitter  14,Duncan  5,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sat, Jan 10",Minnesota ,W108-93  ,23-15,Daye  22,Daye  10,Joseph  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Jan 13",Washington ,L101-93  ,23-16,Parker  14,Duncan  12,Ginobili  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Wed, Jan 14",Charlotte ,W98-93  ,24-16,Ginobili  27,Duncan  10,Parker  5,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Fri, Jan 16", Portland ,W110-96  ,25-16,Leonard  20,Duncan  12,Parker  7,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Sun, Jan 18", Utah ,W89-69  ,26-16,Splitter  14,Baynes  11,Duncan  4,A,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Tue, Jan 20",Denver ,W109-99  ,27-16,Parker  18,Leonard  15,Ginobili  8,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
"Thu, Jan 22",Chicago ,L104-81  ,27-17,Leonard  16,Duncan  7,Mills  4,H,San Antonio Spurs 2014-15 Regular Season NBA Schedule
