DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title
"Mon, Nov 24",Utah ,W97-95  ,9-5,Butler  25,Gasol  9,Rose  5,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Tue, Nov 25",Denver ,L114-109  ,9-6,Butler  32,Gasol  11,Hinrich  8,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Nov 28",Boston ,W109-102  ,10-6,Butler  22,Gasol  15,Noah  6,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sun, Nov 30",Brooklyn ,W102-84  ,11-6,Butler  26,Gasol  13,Butler  5,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Tue, Dec 2", Dallas ,L132-129 2OT ,11-7,Gasol  29,Gasol  14,Rose  10,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Wed, Dec 3",Charlotte ,W102-95  ,12-7,Gasol  19,Gasol  15,Noah  7,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Dec 6", Golden State ,L112-102  ,12-8,Butler  24,Gasol  20,Rose  6,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Wed, Dec 10", Brooklyn ,W105-80  ,13-8,Rose  23,Gasol  16,Rose  4,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Dec 12", Portland ,W115-96  ,14-8,Rose  31,Gasol  10,Rose  5,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sun, Dec 14",Miami ,W93-75  ,15-8,Dunleavy  22,Gibson  9,Butler  5,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Mon, Dec 15",Atlanta ,L93-86  ,15-9,Butler  22,Gibson  17,Rose  8,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Thu, Dec 18", New York ,W103-97  ,16-9,Butler  35,Noah  13,Butler  7,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Fri, Dec 19",Memphis ,W103-97  ,17-9,Butler  31,Noah  13,Hinrich  7,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Mon, Dec 22", Toronto ,W129-120  ,18-9,Rose  29,Butler  11,Butler  4,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Tue, Dec 23",Washington ,W99-91  ,19-9,Rose  25,Noah  11,Brooks  6,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Thu, Dec 25", Los Angeles ,W113-93  ,20-9,Gasol  23,Gasol  13,Rose  6,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Dec 27", New Orleans ,W107-100  ,21-9,Butler  33,Gibson  10,Gasol  6,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Mon, Dec 29",Indiana ,W92-90  ,22-9,Butler  27,Dunleavy  10,Rose  6,H,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Tue, Dec 30", Brooklyn ,L96-82  ,22-10,Dunleavy  23,Noah  12,Gasol  7,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Thu, Jan 1", Denver ,W106-101  ,23-10,Butler  26,Noah  11,Butler  8,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
"Sat, Jan 3", Boston ,W109-104 OT ,24-10,Gasol  29,Gasol  16,Noah  6,A,Chicago Bulls 2014-15 Regular Season NBA Schedule
