#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
42,Al Horford,FC,6-9,240,37,Boston Celtics,16,Florida,2007 Rnd 1 Pick 3,Dominican RepublicUnited States,NBA 2023-2024 Players Information
5,Talen Horton-Tucker,SF,6-4,234,23,Utah Jazz,4,Iowa State,2019 Rnd 2 Pick 16,United States,NBA 2023-2024 Players Information
2,Caleb Houstan,SF,6-8,205,21,Orlando Magic,1,Michigan,2022 Rnd 2 Pick 2,Canada,NBA 2023-2024 Players Information
13,Jett Howard,GF,6-6,215,20,Orlando Magic,0,Michigan,2023 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
9,Kevin Huerter,SF,6-7,198,25,Sacramento Kings,5,Maryland,2018 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
30,James Huff,C,7-1,240,26,Denver Nuggets,2,Virginia,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
12,De'Andre Hunter,PF,6-8,221,26,Atlanta Hawks,4,Virginia,2019 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
5,Bones Hyland,G,6-2,169,23,Los Angeles Clippers,2,VCU,2021 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
7,Joe Ingles,F,6-9,220,36,Orlando Magic,9,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia,NBA 2023-2024 Players Information
14,Brandon Ingram,SF,6-8,190,26,New Orleans Pelicans,7,Duke,2016 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
11,Kyrie Irving,G,6-2,195,32,Dallas Mavericks,12,Duke,2011 Rnd 1 Pick 1,United StatesAustralia,NBA 2023-2024 Players Information
1,Jonathan Isaac,SF,6-10,230,26,Orlando Magic,6,Florida State,2017 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
23,Jaden Ivey,G,6-4,195,22,Detroit Pistons,1,Purdue,2022 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
45,G.G. Jackson,PF,6-9,210,19,Memphis Grizzlies,0,South Carolina,2023 Rnd 2 Pick 15,United States,NBA 2023-2024 Players Information
22,Isaiah Jackson,PF,6-9,205,22,Indiana Pacers,2,Kentucky,2021 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
44,"Andre Jackson, Jr.",G,6-6,209,22,Milwaukee Bucks,0,UConn,2023 Rnd 2 Pick 6,United States,NBA 2023-2024 Players Information
13,"Jaren Jackson, Jr.",PF,6-10,242,24,Memphis Grizzlies,5,Michigan State,2018 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
29,Quenton Jackson,GF,6-5,173,25,Indiana Pacers,1,Texas A&M,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
7,Reggie Jackson,G,6-2,208,33,Denver Nuggets,12,Boston College,2011 Rnd 1 Pick 24,ItalyUnited States,NBA 2023-2024 Players Information
32,Trayce Jackson-Davis,F,6-9,245,24,Golden State Warriors,0,Indiana,2023 Rnd 2 Pick 27,United States,NBA 2023-2024 Players Information
23,LeBron James,F,6-9,250,39,Los Angeles Lakers,20,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States,NBA 2023-2024 Players Information
11,"Jaime Jaquez, Jr.",GF,6-6,225,23,Miami Heat,0,UCLA,2023 Rnd 1 Pick 18,United States,NBA 2023-2024 Players Information
77,DeJon Jarreau,PG,6-5,185,26,Memphis Grizzlies,1,Houston,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
21,DaQuan Jeffries,SF,6-5,222,26,New York Knicks,4,Tulsa,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
50,Trey Jemison,PF,6-10,260,24,Memphis Grizzlies,0,UAB,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
2,Ty Jerome,PG,6-5,195,26,Cleveland Cavaliers,4,Virginia,2019 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
11,Isaiah Joe,SG,6-3,165,24,Oklahoma City Thunder,3,Arkansas,2020 Rnd 2 Pick 19,United States,NBA 2023-2024 Players Information
2,Cameron Johnson,G,6-8,210,28,Brooklyn Nets,4,North Carolina,2019 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
1,Jalen Johnson,PF,6-8,219,22,Atlanta Hawks,2,Duke,2021 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
16,James Johnson,F,6-7,240,37,Indiana Pacers,14,Wake Forest,2009 Rnd 1 Pick 16,United States,NBA 2023-2024 Players Information
3,Keldon Johnson,SF,6-5,220,24,San Antonio Spurs,4,Kentucky,2019 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
45,Keon Johnson,PG,6-5,185,22,Brooklyn Nets,2,Tennessee,2021 Rnd 1 Pick 21,United States,NBA 2023-2024 Players Information
18,Keyontae Johnson,F,6-4,230,24,Oklahoma City Thunder,0,Kansas State,2023 Rnd 2 Pick 20,United States,NBA 2023-2024 Players Information
15,Nikola Jokic,C,6-11,284,29,Denver Nuggets,8,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia,NBA 2023-2024 Players Information
20,Colby Jones,GF,6-6,207,21,Sacramento Kings,0,Xavier,2023 Rnd 2 Pick 4,United States,NBA 2023-2024 Players Information
30,Damian Jones,PF,6-10,245,28,Cleveland Cavaliers,7,Vanderbilt,2016 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
55,Derrick Jones,SF,6-6,210,27,Dallas Mavericks,7,UNLV,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
5,Herb Jones,SF,6-7,206,25,New Orleans Pelicans,2,Alabama,2021 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
22,Mason Jones,G,6-4,200,25,Sacramento Kings,2,Arkansas,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
33,Tre Jones,PG,6-1,185,24,San Antonio Spurs,3,Duke,2020 Rnd 2 Pick 11,United States,NBA 2023-2024 Players Information
5,Tyus Jones,PG,6-1,196,27,Washington Wizards,8,Duke,2015 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
6,DeAndre Jordan,C,6-11,265,35,Denver Nuggets,15,Texas A&M,2008 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
5,Nikola Jovic,F,6-10,205,20,Miami Heat,1,KK Mega Bemax (Serbia),2022 Rnd 1 Pick 27,Serbia,NBA 2023-2024 Players Information
33,Johnny Juzang,SG,6-5,209,23,Utah Jazz,1,UCLA,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
10,Luke Kennard,SG,6-5,206,27,Memphis Grizzlies,6,Duke,2017 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
24,Walker Kessler,C,7-0,245,22,Utah Jazz,1,Auburn,2022 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
11,Braxton Key,SF,6-8,225,27,Denver Nuggets,2,Virginia,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
24,Corey Kispert,SF,6-6,224,25,Washington Wizards,2,Gonzaga,2021 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
42,Maxi Kleber,PF,6-10,240,32,Dallas Mavericks,6,s.Oliver Baskets (Germany),"2014 NBA Draft, Undrafted",Germany,NBA 2023-2024 Players Information
46,John Konchar,G,6-5,210,28,Memphis Grizzlies,4,Fort Wayne,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
40,Luke Kornet,F,7-1,250,28,Boston Celtics,6,Vanderbilt,"2017 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
27,Vit Krejci,PG,6-8,195,23,Atlanta Hawks,2,Zaragoza U18 (Spain),2020 Rnd 2 Pick 7,Czech Republic,NBA 2023-2024 Players Information
00,Jonathan Kuminga,F,6-7,225,21,Golden State Warriors,2,NBA G League Ignite,2021 Rnd 1 Pick 7,Democratic Republic of the Congo,NBA 2023-2024 Players Information
33,Kyle Kuzma,F,6-9,221,28,Washington Wizards,6,Utah,2017 Rnd 1 Pick 27,United States,NBA 2023-2024 Players Information
3,Jake LaRavia,F,6-7,235,22,Memphis Grizzlies,1,Wake Forest,2022 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
8,Zach LaVine,SG,6-5,200,29,Chicago Bulls,9,UCLA,2014 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
2,Jock Landale,C,6-11,255,28,Houston Rockets,2,Saint Mary's,"2018 NBA Draft, Undrafted",Australia,NBA 2023-2024 Players Information
9,A.J. Lawson,F,6-6,179,23,Dallas Mavericks,1,South Carolina,"2021 NBA Draft, Undrafted",Canada,NBA 2023-2024 Players Information
3,Caris LeVert,G,6-6,205,29,Cleveland Cavaliers,7,Michigan,2016 Rnd 1 Pick 20,United States,NBA 2023-2024 Players Information
10,Damion Lee,G,6-6,210,31,Phoenix Suns,6,Louisville,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
38,Saben Lee,PG,6-2,183,24,Phoenix Suns,3,Vanderbilt,2020 Rnd 2 Pick 8,United States,NBA 2023-2024 Players Information
25,Alex Len,C,7-0,250,30,Sacramento Kings,10,Maryland,2013 Rnd 1 Pick 5,Ukraine,NBA 2023-2024 Players Information
2,Kawhi Leonard,F,6-7,225,32,Los Angeles Clippers,12,San Diego State,2011 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
13,"Kira Lewis, Jr.",PG,6-1,170,22,Utah Jazz,3,Alabama,2020 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
21,Maxwell Lewis,SF,6-7,195,21,Los Angeles Lakers,0,Pepperdine,2023 Rnd 2 Pick 10,United States,NBA 2023-2024 Players Information
32,E.J. Liddell,PF,6-6,240,23,New Orleans Pelicans,1,Ohio State,2022 Rnd 2 Pick 11,United States,NBA 2023-2024 Players Information
0,Damian Lillard,G,6-2,195,33,Milwaukee Bucks,11,Weber State,2012 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
25,Nassir Little,SF,6-6,220,24,Phoenix Suns,4,North Carolina,2019 Rnd 1 Pick 25,United States,NBA 2023-2024 Players Information
2,Dereck Lively II,C,7-1,230,20,Dallas Mavericks,0,Duke,2023 Rnd 1 Pick 12,United States,NBA 2023-2024 Players Information
12,Isaiah Livers,PF,6-6,232,25,Washington Wizards,2,Michigan,2021 Rnd 2 Pick 12,United States,NBA 2023-2024 Players Information
7,Chris Livingston,F,6-6,220,20,Milwaukee Bucks,0,Kentucky,2023 Rnd 2 Pick 28,United States,NBA 2023-2024 Players Information
34,"Kenny Lofton, Jr.",F,6-6,275,21,Utah Jazz,1,Louisiana Tech,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
5,Kevon Looney,PF,6-9,222,28,Golden State Warriors,8,UCLA,2015 Rnd 1 Pick 30,United States,NBA 2023-2024 Players Information
11,Brook Lopez,C,7-1,282,35,Milwaukee Bucks,15,Stanford,2008 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
42,Kevin Love,FC,6-8,251,35,Miami Heat,15,UCLA,2008 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
7,Kyle Lowry,PG,6-0,196,38,Philadelphia Sixers,17,Villanova,2006 Rnd 1 Pick 24,United States,NBA 2023-2024 Players Information
3,Seth Lundy,GF,6-4,220,24,Atlanta Hawks,0,Penn State,2023 Rnd 2 Pick 16,United States,NBA 2023-2024 Players Information
41,Trey Lyles,SF,6-9,234,28,Sacramento Kings,8,Kentucky,2015 Rnd 1 Pick 12,CanadaUnited States,NBA 2023-2024 Players Information
54,Sandro Mamukelashvili,F,6-9,240,24,San Antonio Spurs,2,Seton Hall,2021 Rnd 2 Pick 24,Georgia,NBA 2023-2024 Players Information
14,Terance Mann,SG,6-5,215,27,Los Angeles Clippers,4,Florida State,2019 Rnd 2 Pick 18,United States,NBA 2023-2024 Players Information
23,Tre Mann,PG,6-3,178,23,Charlotte Hornets,2,Florida,2021 Rnd 1 Pick 18,United States,NBA 2023-2024 Players Information
51,Boban Marjanovic,C,7-4,290,35,Houston Rockets,8,KK Vrsac Swisslion (Serbia),"2010 NBA Draft, Undrafted",Serbia,NBA 2023-2024 Players Information
23,Lauri Markkanen,SF,7-0,240,26,Utah Jazz,6,Arizona,2017 Rnd 1 Pick 7,Finland,NBA 2023-2024 Players Information
8,Naji Marshall,SF,6-6,220,26,New Orleans Pelicans,3,Xavier,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
16,Caleb Martin,F,6-5,205,28,Miami Heat,4,Nevada,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
11,Cody Martin,F,6-6,205,28,Charlotte Hornets,4,Nevada,2019 Rnd 2 Pick 6,United States,NBA 2023-2024 Players Information
16,Jaylen Martin,F,6-6,216,21,Brooklyn Nets,0,Overtime Elite (Georgia),"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
1,K.J. Martin,F,6-6,215,23,Philadelphia Sixers,3,IMG Academy (Florida),2020 Rnd 2 Pick 22,United States,NBA 2023-2024 Players Information
25,Garrison Mathews,SG,6-6,215,27,Atlanta Hawks,4,Lipscomb,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
00,Bennedict Mathurin,GF,6-5,210,21,Indiana Pacers,1,Arizona,2022 Rnd 1 Pick 6,CanadaHaiti,NBA 2023-2024 Players Information
32,Wesley Matthews,G,6-5,220,37,Atlanta Hawks,14,Marquette,"2009 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
0,Tyrese Maxey,PG,6-2,200,23,Philadelphia Sixers,3,Kentucky,2020 Rnd 1 Pick 21,United States,NBA 2023-2024 Players Information
4,Skylar Mays,PG,6-3,205,26,Los Angeles Lakers,3,LSU,2020 Rnd 2 Pick 20,United States,NBA 2023-2024 Players Information
2,Miles McBride,G,6-1,195,23,New York Knicks,2,West Virginia,2021 Rnd 2 Pick 6,United States,NBA 2023-2024 Players Information
3,C.J. McCollum,G,6-3,190,32,New Orleans Pelicans,10,Lehigh,2013 Rnd 1 Pick 10,United States,NBA 2023-2024 Players Information
9,T.J. McConnell,G,6-1,190,32,Indiana Pacers,8,Arizona,"2015 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
3,Jaden McDaniels,F,6-9,185,23,Minnesota Timberwolves,3,Washington,2020 Rnd 1 Pick 28,United States,NBA 2023-2024 Players Information
2,Jalen McDaniels,PF,6-9,190,26,Toronto Raptors,4,San Diego State,2019 Rnd 2 Pick 22,United States,NBA 2023-2024 Players Information
20,Doug McDermott,F,6-6,225,32,Indiana Pacers,9,Creighton,2014 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
00,JaVale McGee,C,7-0,270,36,Sacramento Kings,15,Nevada,2008 Rnd 1 Pick 18,United States,NBA 2023-2024 Players Information
7,Bryce McGowens,GF,6-6,175,21,Charlotte Hornets,1,Nebraska,2022 Rnd 2 Pick 10,United States,NBA 2023-2024 Players Information
6,Jordan McLaughlin,G,6-0,185,27,Minnesota Timberwolves,4,USC,"2018 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
8,De'Anthony Melton,SG,6-3,200,25,Philadelphia Sixers,5,USC,2018 Rnd 2 Pick 16,United States,NBA 2023-2024 Players Information
5,Sam Merrill,G,6-4,205,27,Cleveland Cavaliers,3,Utah State,2020 Rnd 2 Pick 30,United States,NBA 2023-2024 Players Information
5,Chimezie Metu,PF,6-10,225,27,Detroit Pistons,5,USC,2018 Rnd 2 Pick 19,United StatesNigeria,NBA 2023-2024 Players Information
22,Vasilije Micic,PG,6-3,188,30,Charlotte Hornets,0,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 22,Serbia,NBA 2023-2024 Players Information
22,Khris Middleton,SF,6-7,222,32,Milwaukee Bucks,11,Texas A&M,2012 Rnd 2 Pick 9,United States,NBA 2023-2024 Players Information
24,Brandon Miller,F,6-7,200,21,Charlotte Hornets,0,Alabama,2023 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
11,Jordan Miller,G,6-5,194,25,Los Angeles Clippers,0,Miami (FL),2023 Rnd 2 Pick 18,United States,NBA 2023-2024 Players Information
33,Leonard Miller,F,6-10,210,20,Minnesota Timberwolves,0,NBA G League Ignite,2023 Rnd 2 Pick 3,Canada,NBA 2023-2024 Players Information
88,Patty Mills,G,6-2,180,35,Miami Heat,14,Saint Mary's,2009 Rnd 2 Pick 25,Australia,NBA 2023-2024 Players Information
13,Shake Milton,SG,6-5,205,27,New York Knicks,5,Southern Methodist,2018 Rnd 2 Pick 24,United States,NBA 2023-2024 Players Information
24,Justin Minaya,F,6-5,205,25,Portland Trail Blazers,1,Providence,"2022 NBA Draft, Undrafted",United StatesDominican Republic,NBA 2023-2024 Players Information
8,Josh Minott,F,6-8,205,21,Minnesota Timberwolves,1,Memphis,2022 Rnd 2 Pick 15,United States,NBA 2023-2024 Players Information
15,Davion Mitchell,PG,6-0,202,25,Sacramento Kings,2,Baylor,2021 Rnd 1 Pick 9,United States,NBA 2023-2024 Players Information
45,Donovan Mitchell,SG,6-3,215,27,Cleveland Cavaliers,6,Louisville,2017 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
4,Evan Mobley,PF,6-11,215,22,Cleveland Cavaliers,2,USC,2021 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
15,Isaiah Mobley,SF,6-8,238,24,Cleveland Cavaliers,1,USC,2022 Rnd 2 Pick 19,United States,NBA 2023-2024 Players Information
0,Malik Monk,SG,6-3,200,26,Sacramento Kings,6,Kentucky,2017 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
4,Moses Moody,SG,6-5,211,21,Golden State Warriors,2,Arkansas,2021 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
15,Xavier Moon,SG,6-0,165,29,Los Angeles Clippers,2,Morehead State,"2017 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
7,"Wendell Moore, Jr.",SF,6-5,215,22,Minnesota Timberwolves,1,Duke,2022 Rnd 1 Pick 26,United States,NBA 2023-2024 Players Information
12,Ja Morant,G,6-2,174,24,Memphis Grizzlies,4,Murray State,2019 Rnd 1 Pick 2,United States,NBA 2023-2024 Players Information
24,Marcus Morris,F,6-8,218,34,Cleveland Cavaliers,12,Kansas,2011 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
88,Markieff Morris,PF,6-9,245,34,Dallas Mavericks,12,Kansas,2011 Rnd 1 Pick 13,United States,NBA 2023-2024 Players Information
23,Monte Morris,G,6-2,183,28,Minnesota Timberwolves,6,Iowa State,2017 Rnd 2 Pick 21,United StatesNigeria,NBA 2023-2024 Players Information
25,Trey Murphy III,G,6-8,206,23,New Orleans Pelicans,2,Virginia,2021 Rnd 1 Pick 17,United States,NBA 2023-2024 Players Information
5,Dejounte Murray,SG,6-5,180,27,Atlanta Hawks,7,Washington,2016 Rnd 1 Pick 29,United States,NBA 2023-2024 Players Information
27,Jamal Murray,SG,6-4,215,27,Denver Nuggets,7,Kentucky,2016 Rnd 1 Pick 7,Canada,NBA 2023-2024 Players Information
13,Keegan Murray,F,6-8,225,23,Sacramento Kings,1,Iowa,2022 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
8,Kris Murray,F,6-8,210,23,Portland Trail Blazers,0,Iowa,2023 Rnd 1 Pick 23,United States,NBA 2023-2024 Players Information
50,Mike Muscala,FC,6-10,240,32,Oklahoma City Thunder,10,Bucknell,2013 Rnd 2 Pick 14,United States,NBA 2023-2024 Players Information
50,Svi Mykhailiuk,SF,6-7,205,26,Boston Celtics,5,Kansas,2018 Rnd 2 Pick 17,Ukraine,NBA 2023-2024 Players Information
22,"Larry Nance, Jr.",SF,6-8,245,31,New Orleans Pelicans,8,Wyoming,2015 Rnd 1 Pick 27,United States,NBA 2023-2024 Players Information
8,Pete Nance,PF,6-10,225,24,Cleveland Cavaliers,0,North Carolina,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
2,Andrew Nembhard,PG,6-4,191,24,Indiana Pacers,1,Gonzaga,2022 Rnd 2 Pick 1,Canada,NBA 2023-2024 Players Information
23,Aaron Nesmith,F,6-6,215,24,Indiana Pacers,3,Vanderbilt,2020 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
20,Georges Niang,F,6-7,230,30,Cleveland Cavaliers,7,Iowa State,2016 Rnd 2 Pick 20,United States,NBA 2023-2024 Players Information
12,Daishen Nix,GF,6-3,226,22,Minnesota Timberwolves,2,NBA G League Ignite,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
22,Zeke Nnaji,PF,6-9,240,23,Denver Nuggets,3,Arizona,2020 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
20,Jusuf Nurkic,FC,7-0,290,29,Phoenix Suns,9,Cedevita (Croatia),2014 Rnd 1 Pick 16,Bosnia and Herzegovina,NBA 2023-2024 Players Information
13,Jordan Nwora,F,6-8,225,25,Toronto Raptors,3,Louisville,2020 Rnd 2 Pick 15,United StatesNigeria,NBA 2023-2024 Players Information
00,Royce O'Neale,SF,6-6,226,30,Phoenix Suns,6,Baylor,"2015 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
3,Chuma Okeke,PF,6-7,229,25,Orlando Magic,3,Auburn,2019 Rnd 1 Pick 16,United States,NBA 2023-2024 Players Information
2,Josh Okogie,SG,6-4,213,25,Phoenix Suns,5,Georgia Tech,2018 Rnd 1 Pick 20,NigeriaUnited States,NBA 2023-2024 Players Information
17,Onyeka Okongwu,PF,6-10,240,23,Atlanta Hawks,3,USC,2020 Rnd 1 Pick 6,United States,NBA 2023-2024 Players Information
35,Isaac Okoro,SG,6-5,225,23,Cleveland Cavaliers,3,Auburn,2020 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
41,Kelly Olynyk,C,6-11,240,32,Toronto Raptors,10,Gonzaga,2013 Rnd 1 Pick 13,Canada,NBA 2023-2024 Players Information
97,Eugene Omoruyi,F,6-6,235,27,Washington Wizards,2,Oregon,"2021 NBA Draft, Undrafted",Canada,NBA 2023-2024 Players Information
16,Cedi Osman,GF,6-7,230,28,San Antonio Spurs,6,Anadolu Efes (Turkey),2015 Rnd 2 Pick 1,North MacedoniaTurkey,NBA 2023-2024 Players Information
9,"Kelly Oubre, Jr.",SF,6-7,203,28,Philadelphia Sixers,8,Kansas,2015 Rnd 1 Pick 15,United States,NBA 2023-2024 Players Information
3,Chris Paul,PG,6-0,175,38,Golden State Warriors,18,Wake Forest,2005 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
22,Cameron Payne,G,6-3,183,29,Philadelphia Sixers,8,Murray State,2015 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
0,Gary Payton II,G,6-2,195,31,Golden State Warriors,7,Oregon State,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
25,Maozinha Pereira,F,6-8,177,23,Memphis Grizzlies,0, ,"2022 NBA Draft, Undrafted",Brazil,NBA 2023-2024 Players Information
13,Drew Peterson,F,6-9,205,24,Boston Celtics,0,USC,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
15,Julian Phillips,F,6-8,198,20,Chicago Bulls,0,Tennessee,2023 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
24,Jalen Pickett,F,6-2,202,24,Denver Nuggets,0,Penn State,2023 Rnd 2 Pick 2,United States,NBA 2023-2024 Players Information
1,"Scotty Pippen, Jr.",G,6-1,170,23,Memphis Grizzlies,1,Vanderbilt,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
44,Mason Plumlee,PF,6-10,254,34,Los Angeles Clippers,10,Duke,2013 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
2,Brandin Podziemski,G,6-4,205,21,Golden State Warriors,0,Santa Clara,2023 Rnd 1 Pick 19,United States,NBA 2023-2024 Players Information
19,Jakob Poeltl,C,7-0,260,28,Toronto Raptors,7,Utah,2016 Rnd 1 Pick 9,Austria,NBA 2023-2024 Players Information
17,Aleksej Pokusevski,C,7-0,210,22,Charlotte Hornets,3,Olympiacos U18 (Greece),2020 Rnd 1 Pick 17,Serbia,NBA 2023-2024 Players Information
13,Jordan Poole,SG,6-4,194,24,Washington Wizards,4,Michigan,2019 Rnd 1 Pick 28,United States,NBA 2023-2024 Players Information
34,Jontay Porter,PF,6-10,240,24,Toronto Raptors,2,Missouri,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
9,"Craig Porter, Jr.",G,6-1,180,24,Cleveland Cavaliers,0,Wichita State,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
1,"Michael Porter, Jr.",PF,6-10,218,25,Denver Nuggets,5,Missouri,2018 Rnd 1 Pick 14,United States,NBA 2023-2024 Players Information
9,Bobby Portis,PF,6-10,250,29,Milwaukee Bucks,8,Arkansas,2015 Rnd 1 Pick 22,United States,NBA 2023-2024 Players Information
8,Kristaps Porzingis,FC,7-2,240,28,Boston Celtics,8,Coosur Real Betis (Spain),2015 Rnd 1 Pick 4,Latvia,NBA 2023-2024 Players Information
25,Micah Potter,C,6-9,248,25,Utah Jazz,2,Wisconsin,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
7,Dwight Powell,PF,6-10,240,32,Dallas Mavericks,9,Stanford,2014 Rnd 2 Pick 15,Canada,NBA 2023-2024 Players Information
24,Norman Powell,SG,6-4,215,30,Los Angeles Clippers,8,UCLA,2015 Rnd 2 Pick 16,United States,NBA 2023-2024 Players Information
10,Jason Preston,G,6-3,181,24,Utah Jazz,2,Ohio,2021 Rnd 2 Pick 3,United States,NBA 2023-2024 Players Information
12,Joshua Primo,G,6-4,189,21,Los Angeles Clippers,2,Alabama,2021 Rnd 1 Pick 12,Canada,NBA 2023-2024 Players Information
