#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
61,Pat Spencer,G,6-3,205,27,Golden State Warriors,0,Northwestern,"2020 NBA Draft, Undrafted",United StatesCape Verde,NBA 2023-2024 Players Information
44,Jaden Springer,SG,6-4,202,21,Boston Celtics,2,Tennessee,2021 Rnd 1 Pick 28,United States,NBA 2023-2024 Players Information
24,Lamar Stevens,SF,6-7,230,26,Memphis Grizzlies,3,Penn State,"2020 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
28,Isaiah Stewart II,C,6-8,250,22,Detroit Pistons,3,Washington,2020 Rnd 1 Pick 16,United States,NBA 2023-2024 Players Information
3,Julian Strawther,GF,6-6,205,21,Denver Nuggets,0,Gonzaga,2023 Rnd 1 Pick 29,United StatesPuerto Rico,NBA 2023-2024 Players Information
1,Max Strus,G,6-5,215,27,Cleveland Cavaliers,4,DePaul,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
4,Jalen Suggs,SG,6-5,205,22,Orlando Magic,2,Gonzaga,2021 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
21,Cole Swider,F,6-8,220,24,Miami Heat,1,Syracuse,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
8,Jae'sean Tate,F,6-4,230,28,Houston Rockets,3,Ohio State,"2018 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
0,Jayson Tatum,SF,6-8,210,26,Boston Celtics,6,Duke,2017 Rnd 1 Pick 3,United States,NBA 2023-2024 Players Information
32,Terry Taylor,GF,6-4,230,24,Chicago Bulls,2,Austin Peay,"2021 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
14,Garrett Temple,G,6-5,195,37,Toronto Raptors,13,LSU,"2009 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
25,Dalen Terry,PG,6-7,195,21,Chicago Bulls,1,Arizona,2022 Rnd 1 Pick 18,United States,NBA 2023-2024 Players Information
