Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality,Title
Willis Reed,FC,6-9,240,22,NYK,80,0,Grambling State,1964 Rnd 2 Pick 1,United States,NBA 1964-1965 Players Information
Oscar Robertson,G,6-5,220,26,CIN,75,4,Cincinnati,1960 Rnd 1 Pick 1,United States,NBA 1964-1965 Players Information
Guy Rodgers,PG,6-0,185,29,GSW,79,6,Temple,"1958 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
John Rudometkin,F,6-6,205,24,"GOS, NYK",23,2,USC,1962 Rnd 2 Pick 2,United States,NBA 1964-1965 Players Information
Bill Russell,C,6-10,215,31,BOS,78,8,San Francisco,1956 Rnd 1 Pick 2,United States,NBA 1964-1965 Players Information
Satch Sanders,PF,6-6,210,26,BOS,80,4,NYU,1960 Rnd 1 Pick 8,United States,NBA 1964-1965 Players Information
Ray Scott,FC,6-9,215,26,DET,66,3,Allentown (United States),1961 Rnd 1 Pick 4,United States,NBA 1964-1965 Players Information
Larry Siegfried,G,6-3,190,25,BOS,72,1,Ohio State,1961 Rnd 1 Pick 3,United States,NBA 1964-1965 Players Information
Paul Silas,PF,6-7,225,21,STH,79,0,Creighton,1964 Rnd 2 Pick 3,United States,NBA 1964-1965 Players Information
Adrian Smith,PG,6-1,180,28,CIN,80,3,Kentucky,1958 Rnd 15 Pick 1,United States,NBA 1964-1965 Players Information
Tom Thacker,G,6-2,170,25,CIN,55,1,Cincinnati,"1963 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
John Thompson,C,6-10,225,23,BOS,63,0,Providence,1964 Rnd 3 Pick 9,United States,NBA 1964-1965 Players Information
Rod Thorn,G,6-4,195,23,DET,73,1,West Virginia,1963 Rnd 1 Pick 2,United States,NBA 1964-1965 Players Information
Nate Thurmond,FC,6-11,225,23,GSW,77,2,Bowling Green,1963 Rnd 1 Pick 3,United States,NBA 1964-1965 Players Information
John Tresvant,PF,6-7,215,25,STH,4,0,Seattle,1964 Rnd 5 Pick 6,United States,NBA 1964-1965 Players Information
Jack Twyman,F,6-6,210,30,CIN,80,9,Cincinnati,1955 Rnd 2 Pick 2,United States,NBA 1964-1965 Players Information
Chico Vaughn,G,6-2,190,25,STH,75,2,Southern Illinois,1962 Rnd 4 Pick 1,United States,NBA 1964-1965 Players Information
Chet Walker,F,6-6,212,25,PHI,79,2,Bradley,1962 Rnd 2 Pick 5,United States,NBA 1964-1965 Players Information
Gerry Ward,G,6-4,195,23,BOS,3,1,Boston College,1963 Rnd 1 Pick 5,United States,NBA 1964-1965 Players Information
Ben Warley,F,6-5,200,28,PHI,64,2,Tennessee State,1960 Rnd 4 Pick 3,United States,NBA 1964-1965 Players Information
Jerry West,SG,6-2,185,26,LAL,74,4,West Virginia,1960 Rnd 1 Pick 2,United States,NBA 1964-1965 Players Information
Gene Wiley,FC,6-10,210,27,LAL,79,2,Wichita State,1962 Rnd 2 Pick 8,United States,NBA 1964-1965 Players Information
Lenny Wilkens,PG,6-1,180,27,STH,78,4,Providence,1960 Rnd 1 Pick 6,United States,NBA 1964-1965 Players Information
Jiff Wilson,FC,6-8,225,22,CIN,39,0,Cincinnati,"1964 NBA Draft, Undrafted",United States,NBA 1964-1965 Players Information
