Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Robert Pack,DEN,74,"1,260.0",479,181,426,0.425,12,31,0.387,105,137,0.766,30,107,137,293,65,1,135,114,NBA 2000-2001 Regular_Season Players Statistic
Olumide Oyedeji,SEA,30,221.0,45,18,37,0.486,0,0,0.0,9,12,0.75,24,43,67,2,7,10,11,40,NBA 2000-2001 Regular_Season Players Statistic
Billy Owens,DET,45,793.0,198,88,230,0.383,3,20,0.15,19,40,0.475,84,121,205,55,32,12,39,93,NBA 2000-2001 Regular_Season Players Statistic
Doug Overton,NJN,21,475.0,125,52,139,0.374,11,36,0.306,10,16,0.625,4,35,39,72,8,0,31,37,NBA 2000-2001 Regular_Season Players Statistic
Bo Outlaw,ORL,80,"2,534.0",582,226,368,0.614,1,2,0.5,129,225,0.573,211,408,619,225,105,137,141,241,NBA 2000-2001 Regular_Season Players Statistic
Greg Ostertag,UTA,81,"1,491.0",363,139,281,0.495,1,2,0.5,84,151,0.556,164,251,415,22,22,142,63,215,NBA 2000-2001 Regular_Season Players Statistic
Michael Olowokandi,LAC,82,"2,127.0",701,308,708,0.435,0,0,0.0,85,156,0.545,168,357,525,46,30,108,169,250,NBA 2000-2001 Regular_Season Players Statistic
Kevin Ollie,PHI,70,923.0,216,76,192,0.396,1,3,0.333,63,89,0.708,16,79,95,146,30,1,49,84,NBA 2000-2001 Regular_Season Players Statistic
Hakeem Olajuwon,HOU,58,"1,545.0",689,283,568,0.498,0,1,0.0,123,198,0.621,124,307,431,72,70,88,81,141,NBA 2000-2001 Regular_Season Players Statistic
Lamar Odom,LAC,76,"2,836.0","1,304",481,"1,046",0.46,80,253,0.316,262,386,0.679,110,482,592,392,74,122,264,236,NBA 2000-2001 Regular_Season Players Statistic
Charles Oakley,TOR,78,"2,767.0",748,305,786,0.388,11,49,0.224,127,152,0.836,142,599,741,264,76,48,139,258,NBA 2000-2001 Regular_Season Players Statistic
Shaquille O'Neal,LAL,74,"2,924.0","2,125",813,"1,422",0.572,0,2,0.0,499,972,0.513,291,649,940,277,47,204,218,256,NBA 2000-2001 Regular_Season Players Statistic
Jermaine O'Neal,IND,81,"2,641.0","1,041",404,868,0.465,0,5,0.0,233,388,0.601,249,545,794,98,49,228,161,280,NBA 2000-2001 Regular_Season Players Statistic
Dirk Nowitzki,DAL,82,"3,125.0","1,784",591,"1,247",0.474,151,390,0.387,451,538,0.838,119,635,754,173,79,101,156,245,NBA 2000-2001 Regular_Season Players Statistic
Moochie Norris,HOU,82,"1,654.0",544,184,413,0.446,25,89,0.281,151,194,0.778,44,154,198,283,69,2,107,84,NBA 2000-2001 Regular_Season Players Statistic
Johnny Newman,NJN,82,"2,049.0",895,291,695,0.419,59,176,0.335,254,297,0.855,34,142,176,115,63,10,106,229,NBA 2000-2001 Regular_Season Players Statistic
Ira Newble,SAS,27,184.0,54,21,55,0.382,4,9,0.444,8,16,0.5,13,22,35,6,2,4,7,18,NBA 2000-2001 Regular_Season Players Statistic
Rasho Nesterovic,MIN,73,"1,233.0",328,147,319,0.461,0,1,0.0,34,65,0.523,99,187,286,45,25,63,55,189,NBA 2000-2001 Regular_Season Players Statistic
Tyrone Nesby,WAS,62,"1,556.0",512,189,530,0.357,49,180,0.272,85,106,0.802,51,122,173,76,51,20,65,155,NBA 2000-2001 Regular_Season Players Statistic
Steve Nash,DAL,70,"2,387.0","1,092",386,792,0.487,89,219,0.406,231,258,0.895,46,177,223,509,72,5,205,158,NBA 2000-2001 Regular_Season Players Statistic
Eduardo Najera,DAL,40,431.0,131,58,111,0.523,1,3,0.333,14,33,0.424,41,54,95,27,13,8,17,48,NBA 2000-2001 Regular_Season Players Statistic
Lee Nailon,CHA,42,469.0,164,66,136,0.485,0,1,0.0,32,43,0.744,29,63,92,24,9,5,27,60,NBA 2000-2001 Regular_Season Players Statistic
Mamadou N'Diaye,TOR,3,10.0,4,1,4,0.25,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,3,NBA 2000-2001 Regular_Season Players Statistic
