Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
DeMar DeRozan,TOR,7,147.3,102,36,78,0.462,5,8,0.625,25,38,0.658,5,14,19,12,8,0,15,10,NBA 2014-2015 Preseason Players Statistic
Luol Deng,MIA,6,153.5,55,23,53,0.434,4,15,0.267,5,9,0.556,7,14,21,12,6,1,6,6,NBA 2014-2015 Preseason Players Statistic
Matt Dellavedova,CLE,7,175.6,31,13,30,0.433,5,17,0.294,0,0,0.0,3,16,19,30,4,0,12,20,NBA 2014-2015 Preseason Players Statistic
Dewayne Dedmon,ORL,7,134.0,32,11,28,0.393,0,0,0.0,10,17,0.588,17,36,53,2,4,11,5,19,NBA 2014-2015 Preseason Players Statistic
Austin Daye,SAS,6,105.5,57,21,46,0.457,11,26,0.423,4,4,1.0,3,17,20,4,4,4,6,20,NBA 2014-2015 Preseason Players Statistic
Andre Dawkins,MIA,3,50.2,31,9,17,0.529,7,12,0.583,6,7,0.857,0,3,3,1,2,0,2,7,NBA 2014-2015 Preseason Players Statistic
Josh Davis,SAS,3,18.1,4,2,5,0.4,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,2,NBA 2014-2015 Preseason Players Statistic
Glen Davis,LAC,3,47.4,12,3,10,0.3,0,0,0.0,6,7,0.857,3,4,7,3,2,0,2,6,NBA 2014-2015 Preseason Players Statistic
Ed Davis,LAL,7,142.4,60,27,37,0.73,0,0,0.0,6,11,0.545,17,21,38,7,3,14,5,18,NBA 2014-2015 Preseason Players Statistic
Anthony Davis,NOP,7,160.7,108,42,72,0.583,0,1,0.0,24,31,0.774,19,29,48,7,6,13,4,6,NBA 2014-2015 Preseason Players Statistic
Brandon Davies,PHI,8,168.3,56,20,46,0.435,3,7,0.429,13,18,0.722,12,22,34,16,3,0,15,31,NBA 2014-2015 Preseason Players Statistic
Gigi Datome,DET,3,30.8,11,5,9,0.556,0,2,0.0,1,2,0.5,0,4,4,0,0,0,1,0,NBA 2014-2015 Preseason Players Statistic
Troy Daniels,HOU,8,136.1,59,19,52,0.365,17,42,0.405,4,7,0.571,3,14,17,1,7,0,5,14,NBA 2014-2015 Preseason Players Statistic
Samuel Dalembert,NYK,7,130.4,30,13,26,0.5,0,0,0.0,4,6,0.667,11,27,38,14,3,13,8,18,NBA 2014-2015 Preseason Players Statistic
Stephen Curry,GSW,7,184.2,121,37,74,0.5,18,35,0.514,29,35,0.829,3,17,20,43,12,2,21,18,NBA 2014-2015 Preseason Players Statistic
Jared Cunningham,LAC,6,90.6,49,12,32,0.375,6,14,0.429,19,31,0.613,0,10,10,6,6,0,12,10,NBA 2014-2015 Preseason Players Statistic
Jae Crowder,DAL,8,151.2,51,19,47,0.404,3,13,0.231,10,12,0.833,2,14,16,11,9,2,9,18,NBA 2014-2015 Preseason Players Statistic
Jamal Crawford,LAC,5,132.8,95,29,56,0.518,18,30,0.6,19,20,0.95,1,3,4,15,5,1,8,9,NBA 2014-2015 Preseason Players Statistic
Chris Crawford,CLE,5,37.5,12,4,9,0.444,3,8,0.375,1,1,1.0,0,4,4,8,1,1,2,5,NBA 2014-2015 Preseason Players Statistic
