Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
DeSean Hadley,NOP,4,24.0,9,2,5,0.4,1,2,0.5,4,4,1.0,0,2,2,1,0,0,1,7,NBA 2005-2006 Summer_League Players Statistic
Lynn Greer,PHX,6,91.0,42,12,30,0.4,4,7,0.571,14,15,0.933,2,6,8,13,3,0,13,11,NBA 2005-2006 Summer_League Players Statistic
Gerald Green,BOS,6,113.0,48,19,47,0.404,4,7,0.571,6,12,0.5,2,6,8,2,3,0,12,23,NBA 2005-2006 Summer_League Players Statistic
David Graves,GSW,1,19.0,8,2,3,0.667,0,0,0.0,4,4,1.0,0,1,1,0,0,0,2,2,NBA 2005-2006 Summer_League Players Statistic
Stephen Graham,PHX,6,166.0,63,23,49,0.469,1,3,0.333,16,20,0.8,3,20,23,6,2,2,12,24,NBA 2005-2006 Summer_League Players Statistic
Marcin Gortat,ORL,4,58.0,19,8,14,0.571,0,0,0.0,3,3,1.0,3,6,9,1,1,1,2,17,NBA 2005-2006 Summer_League Players Statistic
Ryan Gomes,BOS,6,135.0,73,28,47,0.596,0,2,0.0,17,18,0.944,9,28,37,3,1,0,9,12,NBA 2005-2006 Summer_League Players Statistic
Andreas Glyniadakis,DET,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2005-2006 Summer_League Players Statistic
John Gilchrist,CLE,5,82.0,34,13,37,0.351,0,6,0.0,8,11,0.727,1,11,12,10,5,1,12,15,NBA 2005-2006 Summer_League Players Statistic
Gee Gervin,DAL,4,49.0,20,6,16,0.375,1,2,0.5,7,8,0.875,0,2,2,6,2,0,7,4,NBA 2005-2006 Summer_League Players Statistic
Otis George,NYK,4,30.0,3,1,11,0.091,0,0,0.0,1,2,0.5,6,4,10,0,1,0,6,12,NBA 2005-2006 Summer_League Players Statistic
Brandon Gay,GSW,2,11.0,0,0,3,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,NBA 2005-2006 Summer_League Players Statistic
Chris Garnett,NOP,3,22.0,9,2,5,0.4,0,0,0.0,5,6,0.833,3,4,7,0,0,1,3,6,NBA 2005-2006 Summer_League Players Statistic
Francisco Garcia,SAC,5,180.0,62,21,60,0.35,4,17,0.235,16,18,0.889,7,14,21,13,8,7,10,20,NBA 2005-2006 Summer_League Players Statistic
Cheyne Gadson,NYK,3,28.0,8,4,7,0.571,0,0,0.0,0,1,0.0,1,3,4,2,0,0,3,1,NBA 2005-2006 Summer_League Players Statistic
Elbert Fuqua,NYK,3,17.0,5,2,5,0.4,1,1,1.0,0,0,0.0,5,3,8,0,0,2,1,6,NBA 2005-2006 Summer_League Players Statistic
Hiram Fuller,WAS,6,134.0,45,15,25,0.6,0,0,0.0,15,20,0.75,20,24,44,2,2,4,13,22,NBA 2005-2006 Summer_League Players Statistic
Channing Frye,NYK,5,115.0,65,19,44,0.432,0,2,0.0,27,28,0.964,12,17,29,3,1,3,12,30,NBA 2005-2006 Summer_League Players Statistic
Matt Freije,CLE,6,76.0,36,13,29,0.448,3,10,0.3,7,11,0.636,3,7,10,3,2,1,2,11,NBA 2005-2006 Summer_League Players Statistic
Craig Forth,UTA,3,16.0,3,1,5,0.2,0,0,0.0,1,4,0.25,4,0,4,0,0,0,0,3,NBA 2005-2006 Summer_League Players Statistic
Luis Flores,DEN,6,147.0,92,32,69,0.464,3,10,0.3,25,32,0.781,4,14,18,5,8,1,13,13,NBA 2005-2006 Summer_League Players Statistic
Gerald Fitch,WAS,5,120.0,67,22,50,0.44,7,16,0.438,16,22,0.727,5,14,19,8,4,1,11,11,NBA 2005-2006 Summer_League Players Statistic
D'or Fischer,UTA,6,34.0,8,2,4,0.5,0,0,0.0,4,4,1.0,3,5,8,0,0,2,1,11,NBA 2005-2006 Summer_League Players Statistic
Raymond Felton,CHA,5,126.0,66,22,60,0.367,6,13,0.462,16,23,0.696,4,13,17,26,7,2,8,13,NBA 2005-2006 Summer_League Players Statistic
Desmon Farmer,DEN,6,58.0,14,4,10,0.4,2,3,0.667,4,5,0.8,0,10,10,6,0,0,5,8,NBA 2005-2006 Summer_League Players Statistic
Olu Famutimi,UTA,6,54.0,20,7,18,0.389,0,1,0.0,6,6,1.0,6,3,9,1,1,1,2,6,NBA 2005-2006 Summer_League Players Statistic
Daniel Ewing,LAC,5,142.0,40,13,35,0.371,2,5,0.4,12,16,0.75,4,9,13,8,8,0,11,18,NBA 2005-2006 Summer_League Players Statistic
Denis Ershov,SAS,2,7.0,2,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,0,1,1,0,0,NBA 2005-2006 Summer_League Players Statistic
Ebi Ere,POR,6,108.0,47,19,38,0.5,3,11,0.273,6,8,0.75,3,6,9,1,4,2,7,6,NBA 2005-2006 Summer_League Players Statistic
Carl English,CLE,5,29.0,4,1,8,0.125,1,2,0.5,1,2,0.5,0,4,4,1,0,0,2,6,NBA 2005-2006 Summer_League Players Statistic
Monta Ellis,GSW,5,156.0,79,27,70,0.386,10,25,0.4,15,24,0.625,3,12,15,13,5,0,18,18,NBA 2005-2006 Summer_League Players Statistic
Jason Ellis,DEN,6,78.0,15,6,11,0.545,0,0,0.0,3,3,1.0,3,4,7,1,1,1,4,16,NBA 2005-2006 Summer_League Players Statistic
Raed Farid Elhamali,WAS,6,73.0,41,12,28,0.429,0,0,0.0,17,26,0.654,2,8,10,2,2,0,9,7,NBA 2005-2006 Summer_League Players Statistic
B.J. Elder,SAS,5,70.0,16,6,21,0.286,0,3,0.0,4,4,1.0,1,2,3,2,2,0,4,8,NBA 2005-2006 Summer_League Players Statistic
Chuck Eidson,LAC,3,45.0,15,6,14,0.429,0,1,0.0,3,6,0.5,0,4,4,3,2,0,3,2,NBA 2005-2006 Summer_League Players Statistic
Corsley Edwards,WAS,6,80.0,25,10,30,0.333,0,0,0.0,5,8,0.625,6,17,23,3,1,0,3,12,NBA 2005-2006 Summer_League Players Statistic
Tyus Edney,DEN,6,129.0,62,24,38,0.632,6,9,0.667,8,11,0.727,6,5,11,9,7,0,14,8,NBA 2005-2006 Summer_League Players Statistic
Christian Drejer,NJN,5,86.0,13,4,22,0.182,1,7,0.143,4,5,0.8,2,10,12,1,1,2,4,12,NBA 2005-2006 Summer_League Players Statistic
Ruben Douglas,NYK,5,65.0,26,11,23,0.478,1,5,0.2,3,4,0.75,3,4,7,2,2,0,2,9,NBA 2005-2006 Summer_League Players Statistic
Henry Domercant,WAS,6,64.0,35,13,28,0.464,4,6,0.667,5,7,0.714,1,8,9,6,1,0,3,9,NBA 2005-2006 Summer_League Players Statistic
Ike Diogu,GSW,5,140.0,92,35,59,0.593,0,0,0.0,22,26,0.846,16,26,42,1,0,3,12,27,NBA 2005-2006 Summer_League Players Statistic
Travis Diener,ORL,5,115.0,44,13,28,0.464,7,13,0.538,11,13,0.846,5,19,24,20,3,0,5,12,NBA 2005-2006 Summer_League Players Statistic
Kaniel Dickens,SEA,6,127.0,52,19,52,0.365,9,22,0.409,5,9,0.556,5,21,26,2,5,0,10,17,NBA 2005-2006 Summer_League Players Statistic
Boris Diaw,ATL,6,149.0,46,18,28,0.643,0,0,0.0,10,14,0.714,2,22,24,15,3,6,21,23,NBA 2005-2006 Summer_League Players Statistic
Carlos Delfino,DET,3,85.0,21,8,20,0.4,0,3,0.0,5,6,0.833,4,9,13,6,6,1,16,12,NBA 2005-2006 Summer_League Players Statistic
Kendall Dartez,SAS,5,88.0,21,8,20,0.4,0,0,0.0,5,8,0.625,8,11,19,4,4,6,6,14,NBA 2005-2006 Summer_League Players Statistic
Marquis Daniels,DAL,4,119.0,68,25,66,0.379,0,5,0.0,18,24,0.75,10,11,21,12,9,1,11,14,NBA 2005-2006 Summer_League Players Statistic
Erik Daniels,SAC,5,150.0,56,25,43,0.581,3,7,0.429,3,5,0.6,4,7,11,7,3,0,6,25,NBA 2005-2006 Summer_League Players Statistic
Ersin Dagli,LAC,4,100.0,32,12,23,0.522,0,0,0.0,8,15,0.533,8,19,27,2,1,1,3,16,NBA 2005-2006 Summer_League Players Statistic
Joe Dabbert,DEN,2,13.0,6,3,7,0.429,0,0,0.0,0,0,0.0,2,1,3,0,1,0,3,4,NBA 2005-2006 Summer_League Players Statistic
Ed Cota,WAS,3,58.0,7,3,10,0.3,1,4,0.25,0,0,0.0,1,4,5,8,1,0,2,4,NBA 2005-2006 Summer_League Players Statistic
Taylor Coppenrath,BOS,6,93.0,43,13,22,0.591,0,0,0.0,17,23,0.739,10,10,20,2,0,0,4,14,NBA 2005-2006 Summer_League Players Statistic
Jason Conley,ATL,4,47.0,13,3,7,0.429,0,0,0.0,7,11,0.636,1,4,5,6,6,1,5,7,NBA 2005-2006 Summer_League Players Statistic
Gyasi Cline-Heard,ATL,6,86.0,36,11,17,0.647,0,0,0.0,14,31,0.452,8,16,24,3,4,2,9,17,NBA 2005-2006 Summer_League Players Statistic
Mateen Cleaves,SEA,6,129.0,67,20,38,0.526,4,7,0.571,23,29,0.793,3,11,14,26,2,0,15,17,NBA 2005-2006 Summer_League Players Statistic
Ira Clark,POR,4,71.0,27,10,15,0.667,0,0,0.0,7,12,0.583,5,9,14,2,0,0,7,13,NBA 2005-2006 Summer_League Players Statistic
Sam Clancy,NJN,5,145.0,74,23,50,0.46,0,0,0.0,28,40,0.7,10,22,32,2,2,5,11,16,NBA 2005-2006 Summer_League Players Statistic
Ousmane Cisse,WAS,2,26.0,10,4,5,0.8,0,0,0.0,2,2,1.0,4,1,5,0,1,2,0,1,NBA 2005-2006 Summer_League Players Statistic
Josh Childress,ATL,5,132.0,66,21,38,0.553,2,7,0.286,22,24,0.917,9,16,25,10,4,4,13,20,NBA 2005-2006 Summer_League Players Statistic
